uidb_number,fir_number,suspect_name,known_aliases,prior_convictions_count,previous_ps_name,previous_offence,act_and_sections,modus_operandi,mob_number,crime_category,case_year,case_status,custody_location
UIDB-427729,0808/2026,Md. Ayush Buch,"Cash Kingpin, Zaveri Courier",5,Crime Branch Unit 2,Cross-Border Hawala Layering & Angadia Illegal Cash Conduit Operations,"PMLA 2002 Sec 3, Sec 4 r/w IPC 420, 120B",Operating illicit hawala book across Zaveri Bazaar & Opera House; layering extortion & contraband profits via 12 fictitious shell LLP bank accounts using forged Aadhaar cards.,MOB/CRIM/2022/662,HAWALA_AND_MONEY_LAUNDERING,2022,Under Trial,Not in Custody (Interim Bail)
UIDB-703496,0920/2026,Md. Amol Nagy,"Cash Kingpin, Zaveri Courier",4,Crime Branch Unit 2,Cross-Border Hawala Layering & Angadia Illegal Cash Conduit Operations,"PMLA 2002 Sec 3, Sec 4 r/w IPC 420, 120B",Operating illicit hawala book across Zaveri Bazaar & Opera House; layering extortion & contraband profits via 12 fictitious shell LLP bank accounts using forged Aadhaar cards.,MOB/CRIM/2022/601,HAWALA_AND_MONEY_LAUNDERING,2022,Under Trial,Not in Custody (Interim Bail)
UIDB-334672,0161/2026,Md. Baljiwan Hayer,"Goli Mastan, Sharpie",4,Crime Branch Unit 3 (Byculla),"Contract Assassination (Supari), Shootout on Witness & Gang Assault","IPC Sec 302, 307, 120B, 34 r/w Arms Act Sec 25(1B)(a), Sec 27",Conducting motorcycle-borne reconnaissance on syndicate hit targets; executing firearm ambushes with 7.65mm country pistols and disposing weapons in Thane Creek.,MOB/CRIM/2024/805,CONTRACT_KILLING_AND_ASSAULT,2024,Under Trial (Sessions Court 14),Arthur Road Jail
UIDB-488834,0538/2026,Md. Devansh Vohra,"Goli Mastan, Sharpie",5,Kalachowki Police Station,"Contract Assassination (Supari), Shootout on Witness & Gang Assault","IPC Sec 302, 307, 120B, 34 r/w Arms Act Sec 25(1B)(a), Sec 27",Conducting motorcycle-borne reconnaissance on syndicate hit targets; executing firearm ambushes with 7.65mm country pistols and disposing weapons in Thane Creek.,MOB/KALA/2024/337,CONTRACT_KILLING_AND_ASSAULT,2024,Judicial Custody (Taloja Central Prison),Arthur Road Jail
UIDB-187205,0984/2026,Md. Gopal Radhakrishnan,"Goli Mastan, Sharpie",5,Crime Branch Unit 3 (Byculla),"Contract Assassination (Supari), Shootout on Witness & Gang Assault","IPC Sec 302, 307, 120B, 34 r/w Arms Act Sec 25(1B)(a), Sec 27",Conducting motorcycle-borne reconnaissance on syndicate hit targets; executing firearm ambushes with 7.65mm country pistols and disposing weapons in Thane Creek.,MOB/CRIM/2024/390,CONTRACT_KILLING_AND_ASSAULT,2024,Under Trial (Sessions Court 14),Arthur Road Jail
UIDB-410090,0915/2026,Md. Zayyan Ahluwalia,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
UIDB-672297,0939/2026,Md. Rudra Sant,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
UIDB-316873,0869/2026,Md. Fitan Mander,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
UIDB-064096,0918/2026,Md. Nachiket Desai,"Proxy Boy, Crypto Mule",3,Tardeo Police Station,"SIM Box Operation, Bank Impersonation Phishing & UPI Mule Laundering","Information Technology Act Sec 66D, 66C r/w IPC 419, 420, 468, 471",Operating high-density 128-port SIM boxes to route offshore fraudulent KYC phishing calls; rapidly funneling victim balances through layered student mule accounts within 120 seconds.,MOB/TARD/2023/656,CYBER_FINANCIAL_FRAUD,2023,Judicial Custody (Arthur Road Jail),Arthur Road Jail
UIDB-051849,0196/2026,Md. Maanav Tailor,"Goli Mastan, Sharpie",4,Crime Branch Unit 3 (Byculla),"Contract Assassination (Supari), Shootout on Witness & Gang Assault","IPC Sec 302, 307, 120B, 34 r/w Arms Act Sec 25(1B)(a), Sec 27",Conducting motorcycle-borne reconnaissance on syndicate hit targets; executing firearm ambushes with 7.65mm country pistols and disposing weapons in Thane Creek.,MOB/CRIM/2024/541,CONTRACT_KILLING_AND_ASSAULT,2024,Under Trial (Sessions Court 14),Arthur Road Jail
UIDB-979328,0191/2026,Md. Balendra Nayak,"Chemical Chembur, Dealer Farhan",5,Bhoiwada Police Station,Commercial Quantity Trafficking of Mephedrone (MD) & Synthetic Narcotics,"NDPS Act 1985 Sec 8(c), 20(b)(ii)(C), 22(c), 29",Procuring synthetic narcotics via Goa-Mumbai coastal dead-drops; distribution network operating through courier packages and high-end nightlife circuits across South and West Mumbai.,MOB/BHOI/2021/464,NARCOTICS_TRAFFICKING,2021,Charge-sheeted,Judicial Custody
UIDB-179689,0370/2026,Md. Robert Narain,"Cash Kingpin, Zaveri Courier",4,Crime Branch Unit 2,Cross-Border Hawala Layering & Angadia Illegal Cash Conduit Operations,"PMLA 2002 Sec 3, Sec 4 r/w IPC 420, 120B",Operating illicit hawala book across Zaveri Bazaar & Opera House; layering extortion & contraband profits via 12 fictitious shell LLP bank accounts using forged Aadhaar cards.,MOB/CRIM/2022/903,HAWALA_AND_MONEY_LAUNDERING,2022,Under Trial,Not in Custody (Interim Bail)
UIDB-342453,0593/2026,Md. Tanveer Choudhary,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
UIDB-402228,0634/2026,Md. Azad Mannan,"Proxy Boy, Crypto Mule",4,Crime Branch Cyber Cell,"SIM Box Operation, Bank Impersonation Phishing & UPI Mule Laundering","Information Technology Act Sec 66D, 66C r/w IPC 419, 420, 468, 471",Operating high-density 128-port SIM boxes to route offshore fraudulent KYC phishing calls; rapidly funneling victim balances through layered student mule accounts within 120 seconds.,MOB/CRIM/2023/286,CYBER_FINANCIAL_FRAUD,2023,"Bailed (Surety of ₹50,000)",Arthur Road Jail
UIDB-448302,0489/2026,Md. Amol Mody,"Bhaijaan, Company Enforcer",4,Dongri Police Station,"Extortion, Running Organized Crime Syndicate & Illegal Arms Supply","MCOCA 1999 Sec 3(1)(ii), 3(2), 3(4) r/w Arms Act Sec 3, 25(1B)(a), IPC 120B",Running protection racket (hafta) targeting real estate developers and angadias in South Mumbai via VoIP spoofing; arms stockpiling and coordinating extortion calls from safehouses.,MOB/DONG/2020/650,ORGANIZED_CRIME,2020,Under Trial (Special MCOCA Court),Arthur Road Jail (Barrack 12)
UIDB-132028,0399/2026,Md. Zaid Bhattacharyya,"Proxy Boy, Crypto Mule",1,Crime Branch Cyber Cell,"SIM Box Operation, Bank Impersonation Phishing & UPI Mule Laundering","Information Technology Act Sec 66D, 66C r/w IPC 419, 420, 468, 471",Operating high-density 128-port SIM boxes to route offshore fraudulent KYC phishing calls; rapidly funneling victim balances through layered student mule accounts within 120 seconds.,MOB/CRIM/2023/138,CYBER_FINANCIAL_FRAUD,2023,"Bailed (Surety of ₹50,000)",Arthur Road Jail
UIDB-701396,0827/2026,Md. Nicholas Karpe,"Proxy Boy, Crypto Mule",1,Crime Branch Cyber Cell,"SIM Box Operation, Bank Impersonation Phishing & UPI Mule Laundering","Information Technology Act Sec 66D, 66C r/w IPC 419, 420, 468, 471",Operating high-density 128-port SIM boxes to route offshore fraudulent KYC phishing calls; rapidly funneling victim balances through layered student mule accounts within 120 seconds.,MOB/CRIM/2023/331,CYBER_FINANCIAL_FRAUD,2023,"Bailed (Surety of ₹50,000)",Arthur Road Jail
UIDB-863523,0847/2026,Md. Indrajit Kunda,"Chemical Chembur, Dealer Farhan",3,Bhoiwada Police Station,Commercial Quantity Trafficking of Mephedrone (MD) & Synthetic Narcotics,"NDPS Act 1985 Sec 8(c), 20(b)(ii)(C), 22(c), 29",Procuring synthetic narcotics via Goa-Mumbai coastal dead-drops; distribution network operating through courier packages and high-end nightlife circuits across South and West Mumbai.,MOB/BHOI/2021/687,NARCOTICS_TRAFFICKING,2021,Charge-sheeted,Judicial Custody
UIDB-653981,0307/2026,Md. Akshay Lata,"Goli Mastan, Sharpie",2,Crime Branch Unit 3 (Byculla),"Contract Assassination (Supari), Shootout on Witness & Gang Assault","IPC Sec 302, 307, 120B, 34 r/w Arms Act Sec 25(1B)(a), Sec 27",Conducting motorcycle-borne reconnaissance on syndicate hit targets; executing firearm ambushes with 7.65mm country pistols and disposing weapons in Thane Creek.,MOB/CRIM/2024/664,CONTRACT_KILLING_AND_ASSAULT,2024,Under Trial (Sessions Court 14),Arthur Road Jail
UIDB-514518,0789/2026,Md. Tejas Nigam,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
UIDB-932397,0509/2026,Md. Elijah Ganguly,"Proxy Boy, Crypto Mule",3,Crime Branch Cyber Cell,"SIM Box Operation, Bank Impersonation Phishing & UPI Mule Laundering","Information Technology Act Sec 66D, 66C r/w IPC 419, 420, 468, 471",Operating high-density 128-port SIM boxes to route offshore fraudulent KYC phishing calls; rapidly funneling victim balances through layered student mule accounts within 120 seconds.,MOB/CRIM/2023/621,CYBER_FINANCIAL_FRAUD,2023,"Bailed (Surety of ₹50,000)",Arthur Road Jail
UIDB-450627,0605/2026,Md. Reyansh Mangal,"Chemical Chembur, Dealer Farhan",5,Bhoiwada Police Station,Commercial Quantity Trafficking of Mephedrone (MD) & Synthetic Narcotics,"NDPS Act 1985 Sec 8(c), 20(b)(ii)(C), 22(c), 29",Procuring synthetic narcotics via Goa-Mumbai coastal dead-drops; distribution network operating through courier packages and high-end nightlife circuits across South and West Mumbai.,MOB/BHOI/2021/684,NARCOTICS_TRAFFICKING,2021,Charge-sheeted,Judicial Custody
UIDB-870221,0486/2026,Md. Jatin Murthy,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
UIDB-268250,0725/2026,Md. Anay Minhas,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
UIDB-454527,0456/2026,Md. Jeet Saha,"Chhota Boss, Bhai Dongri",1,Nagpada Police Station,Armed Extortion & Intimidation of SRA Builders & Merchants,"IPC Sec 384, 386, 387, 506(2), 34",Intimidating Slum Rehabilitation Authority (SRA) contractors and local scrap dealers; deploying muscle for forcible land possession and extorting monthly hafta payments.,MOB/NAGP/2025/789,EXTORTION_AND_THREAT,2025,Under Trial,Arthur Road Jail
UIDB-438234,0413/2026,Md. Wriddhish Varty,"Bhaijaan, Company Enforcer",5,Nagpada Police Station,"Extortion, Running Organized Crime Syndicate & Illegal Arms Supply","MCOCA 1999 Sec 3(1)(ii), 3(2), 3(4) r/w Arms Act Sec 3, 25(1B)(a), IPC 120B",Running protection racket (hafta) targeting real estate developers and angadias in South Mumbai via VoIP spoofing; arms stockpiling and coordinating extortion calls from safehouses.,MOB/NAGP/2020/696,ORGANIZED_CRIME,2020,Judicial Custody (Taloja Central Prison),Out on Conditional Bail
UIDB-642244,0053/2026,Md. Kevin Ganesan,"Goli Mastan, Sharpie",4,Kalachowki Police Station,"Contract Assassination (Supari), Shootout on Witness & Gang Assault","IPC Sec 302, 307, 120B, 34 r/w Arms Act Sec 25(1B)(a), Sec 27",Conducting motorcycle-borne reconnaissance on syndicate hit targets; executing firearm ambushes with 7.65mm country pistols and disposing weapons in Thane Creek.,MOB/KALA/2024/426,CONTRACT_KILLING_AND_ASSAULT,2024,Judicial Custody (Taloja Central Prison),Arthur Road Jail
UIDB-460337,0263/2026,Md. Frado Dhingra,"Bhaijaan, Company Enforcer",4,Dongri Police Station,"Extortion, Running Organized Crime Syndicate & Illegal Arms Supply","MCOCA 1999 Sec 3(1)(ii), 3(2), 3(4) r/w Arms Act Sec 3, 25(1B)(a), IPC 120B",Running protection racket (hafta) targeting real estate developers and angadias in South Mumbai via VoIP spoofing; arms stockpiling and coordinating extortion calls from safehouses.,MOB/DONG/2020/594,ORGANIZED_CRIME,2020,Under Trial (Special MCOCA Court),Arthur Road Jail (Barrack 12)
UIDB-385562,0039/2026,Md. Naveen Tailor,"Goli Mastan, Sharpie",4,Crime Branch Unit 3 (Byculla),"Contract Assassination (Supari), Shootout on Witness & Gang Assault","IPC Sec 302, 307, 120B, 34 r/w Arms Act Sec 25(1B)(a), Sec 27",Conducting motorcycle-borne reconnaissance on syndicate hit targets; executing firearm ambushes with 7.65mm country pistols and disposing weapons in Thane Creek.,MOB/CRIM/2024/275,CONTRACT_KILLING_AND_ASSAULT,2024,Under Trial (Sessions Court 14),Arthur Road Jail
UIDB-483888,0856/2026,Md. Dominic Gupta,"Cash Kingpin, Zaveri Courier",5,Crime Branch Unit 2,Cross-Border Hawala Layering & Angadia Illegal Cash Conduit Operations,"PMLA 2002 Sec 3, Sec 4 r/w IPC 420, 120B",Operating illicit hawala book across Zaveri Bazaar & Opera House; layering extortion & contraband profits via 12 fictitious shell LLP bank accounts using forged Aadhaar cards.,MOB/CRIM/2022/752,HAWALA_AND_MONEY_LAUNDERING,2022,Under Trial,Not in Custody (Interim Bail)
UIDB-300146,0728/2026,Md. Frederick Nori,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
UIDB-003552,0596/2026,Md. Brijesh Goda,"Chhota Boss, Bhai Dongri",3,Bhoiwada Police Station,Armed Extortion & Intimidation of SRA Builders & Merchants,"IPC Sec 384, 386, 387, 506(2), 34",Intimidating Slum Rehabilitation Authority (SRA) contractors and local scrap dealers; deploying muscle for forcible land possession and extorting monthly hafta payments.,MOB/BHOI/2025/851,EXTORTION_AND_THREAT,2025,Disposed (Compounded),Not in Custody
UIDB-878903,0654/2026,Md. Qadim Solanki,"Chemical Chembur, Dealer Farhan",3,Anti-Narcotics Cell (ANC) Bandra Unit,Commercial Quantity Trafficking of Mephedrone (MD) & Synthetic Narcotics,"NDPS Act 1985 Sec 8(c), 20(b)(ii)(C), 22(c), 29",Procuring synthetic narcotics via Goa-Mumbai coastal dead-drops; distribution network operating through courier packages and high-end nightlife circuits across South and West Mumbai.,MOB/ANTI/2021/323,NARCOTICS_TRAFFICKING,2021,Judicial Custody (Arthur Road Jail),Taloja Central Prison
UIDB-823492,0573/2026,Md. Daniel Raman,"Goli Mastan, Sharpie",5,Kalachowki Police Station,"Contract Assassination (Supari), Shootout on Witness & Gang Assault","IPC Sec 302, 307, 120B, 34 r/w Arms Act Sec 25(1B)(a), Sec 27",Conducting motorcycle-borne reconnaissance on syndicate hit targets; executing firearm ambushes with 7.65mm country pistols and disposing weapons in Thane Creek.,MOB/KALA/2024/737,CONTRACT_KILLING_AND_ASSAULT,2024,Judicial Custody (Taloja Central Prison),Arthur Road Jail
UIDB-813150,0225/2026,Md. Vihaan Vohra,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
UIDB-642045,0683/2026,Md. David Nayak,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
UIDB-923765,0430/2026,Md. Harish Bali,"Chhota Boss, Bhai Dongri",3,Bhoiwada Police Station,Armed Extortion & Intimidation of SRA Builders & Merchants,"IPC Sec 384, 386, 387, 506(2), 34",Intimidating Slum Rehabilitation Authority (SRA) contractors and local scrap dealers; deploying muscle for forcible land possession and extorting monthly hafta payments.,MOB/BHOI/2025/669,EXTORTION_AND_THREAT,2025,Disposed (Compounded),Not in Custody
UIDB-665991,0123/2026,Md. Matthew Om,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
UIDB-320042,0168/2026,Md. Rayaan Bhavsar,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
UIDB-632568,0755/2026,Md. Hemang Shere,"Chhota Boss, Bhai Dongri",3,Nagpada Police Station,Armed Extortion & Intimidation of SRA Builders & Merchants,"IPC Sec 384, 386, 387, 506(2), 34",Intimidating Slum Rehabilitation Authority (SRA) contractors and local scrap dealers; deploying muscle for forcible land possession and extorting monthly hafta payments.,MOB/NAGP/2025/581,EXTORTION_AND_THREAT,2025,Under Trial,Arthur Road Jail
UIDB-713875,0326/2026,Md. Jeet Sachdeva,"Chemical Chembur, Dealer Farhan",5,Anti-Narcotics Cell (ANC) Bandra Unit,Commercial Quantity Trafficking of Mephedrone (MD) & Synthetic Narcotics,"NDPS Act 1985 Sec 8(c), 20(b)(ii)(C), 22(c), 29",Procuring synthetic narcotics via Goa-Mumbai coastal dead-drops; distribution network operating through courier packages and high-end nightlife circuits across South and West Mumbai.,MOB/ANTI/2021/450,NARCOTICS_TRAFFICKING,2021,Judicial Custody (Arthur Road Jail),Taloja Central Prison
UIDB-833665,0689/2026,Md. Zehaan Wali,None / Clean Profile,0,N/A,None,N/A,No prior criminal history on record. Subject currently under preliminary intelligence observation.,N/A,CLEAN,N/A,Clean Record,Not in Custody
UIDB-221435,0104/2026,Md. Aarnav Sekhon,"Cash Kingpin, Zaveri Courier",5,Enforcement Directorate / Crime Branch Unit 1,Cross-Border Hawala Layering & Angadia Illegal Cash Conduit Operations,"PMLA 2002 Sec 3, Sec 4 r/w IPC 420, 120B",Operating illicit hawala book across Zaveri Bazaar & Opera House; layering extortion & contraband profits via 12 fictitious shell LLP bank accounts using forged Aadhaar cards.,MOB/ENFO/2022/839,HAWALA_AND_MONEY_LAUNDERING,2022,Bailed (Condition to Report Twice Weekly),Out on Conditional Bail
UIDB-951483,0227/2026,Md. Qarin Balan,"Cash Kingpin, Zaveri Courier",4,Crime Branch Unit 2,Cross-Border Hawala Layering & Angadia Illegal Cash Conduit Operations,"PMLA 2002 Sec 3, Sec 4 r/w IPC 420, 120B",Operating illicit hawala book across Zaveri Bazaar & Opera House; layering extortion & contraband profits via 12 fictitious shell LLP bank accounts using forged Aadhaar cards.,MOB/CRIM/2022/857,HAWALA_AND_MONEY_LAUNDERING,2022,Under Trial,Not in Custody (Interim Bail)
